branch,phi1_a,phi2_a,phi1_b,phi2_b,length
0,0.1898688255281433,0.1241553568111303,0.3901830396047176,0.3038965083217305,0.2691331750406705
0,0.19127740415139735,0.12378108886455307,0.3909878986885426,0.3024842139753868,0.2679908366953046
0,0.1927025428121977,0.12341917419850117,0.3917814726476325,0.30106484126132893,0.26681529815701915
0,0.19414439768521832,0.12306965427470992,0.39256358570609756,0.2996383291166058,0.2656062331917084
0,0.19560313088942483,0.12273257550859462,0.39333405577681346,0.2982046111576436,0.26436329917680185
0,0.1970789108420442,0.12240798952914615,0.39409269411584397,0.2967636154287419,0.2630861362419075
0,0.19857191263819163,0.12209595345703643,0.39483930495120667,0.29531526413236175,0.2617743663466418
0,0.20008231845841118,0.1217965302025821,0.3955736850838653,0.29385947333969425,0.2604275922902426
0,0.20161031800646861,0.12150978878525605,0.39629562345844244,0.2923961526796549,0.2590453966469531
0,0.20315610898020756,0.1212358046768069,0.39700490070097816,0.29092520500437863,0.2576273406203884
0,0.20471989757831055,0.12097466017004432,0.3977012886206984,0.2894465260289645,0.25617296280958496
0,0.20630189904651663,0.12072644477590795,0.3983845496725195,0.2879600039431281,0.2546817778782911
0,0.20790233826679191,0.12049125565134838,0.3990544363764748,0.2864655189919182,0.2531532751184125
0,0.20952145039372294,0.12026919806115972,0.39971069068995474,0.2849629430225178,0.2515869168972319
0,0.21115948154281278,0.12006038587719618,0.40035304332814803,0.2834521389937644,0.24998213697687893
0,0.21281668953573374,0.11986494211865159,0.4009812130273463,0.2819329604444283,0.2483383386931424
0,0.21449334470858009,0.11968299953786622,0.40159490574543477,0.2804052509161485,0.2466548929791007
0,0.2161897308296951,0.11951470129323663,0.402193813844666,0.2788688433811243,0.24493113623793705
0,0.21790614589695348,0.11936020149645044,0.40277761494294706,0.27732355934344993,0.2431663679243554
0,0.21964290340855017,0.11921966617823204,0.4033459711802423,0.2757692084105603,0.24135984811455785
0,0.22140033334683096,0.11909327397226097,0.4038985278981606,0.2742055872727304,0.23951079464591563
0,0.2231787834553967,0.11898121704830592,0.40443491245588387,0.2726324788629745,0.23761838009186298
0,0.22497862059713214,0.11888370209725754,0.40495473288059464,0.27104965138046905,0.23568172842613488
0,0.22680023224411575,0.11880095141231142,0.40545757638598734,0.2694568572177915,0.23369991136048132
0,0.2286440281154429,0.11873320407810549,0.4059430077427782,0.2678538317801154,0.2316719443159566
0,0.23051044198141396,0.11868071728141295,0.40641056748279825,0.2662402921827991,0.2295967819819793
0,0.23239993365530212,0.11864376775903232,0.40685976991545464,0.26461593581172427,0.22747331341043628
0,0.23431299119722757,0.11862265340096641,0.4072901009320083,0.26298043872826926,0.2253003565838324
0,0.23625013335851158,0.11861769502982879,0.4077010155692812,0.26133345389796375,0.22307665238692917
0,0.23821191229959554,0.11862923838091378,0.4080919352997383,0.2596746092184199,0.2208008578996437
0,0.24019891662003234,0.11865765631137416,0.40846224500940004,0.2580035053180581,0.21847153891539683
0,0.24221177474576788,0.11870335127193674,0.40881128961839974,0.2563197130922307,0.21608716157247834
0,0.24425115872678424,0.11876675808039983,0.40913837029105304,0.2546227709374373,0.21364608296631948
0,0.24631778850790328,0.11884834704338823,0.4094427401727156,0.2529121816372304,0.21114654058651405
0,0.2484124367471386,0.11894862748143267,0.409723599578952,0.25118740884465773,0.2085866403933451
0,0.250535934270353,0.11906815172312725,0.40998009054833223,0.24944787309555774,0.2059643433129853
0,0.2526891762684513,0.11920751964709184,0.41021129065257045,0.24769294727392968,0.20327744988683547
0,0.25487312936505574,0.11936738386662453,0.41041620593610706,0.24592195143453804,0.20052358275646662
0,0.2570888397094854,0.1195484556719051,0.4105937628302093,0.24413414686778936,0.19770016659845183
0,0.25933744228368905,0.11975151186981146,0.41074279885311216,0.24232872926698948,0.1948044050393861
0,0.26162017165409346,0.11997740269288193,0.4108620518650224,0.2405048208262337,0.19183325397538634
0,0.26393837445343266,0.12022706098929692,0.41095014759310217,0.23866146105723765,0.18878339058593765
0,0.266293523946492,0.12050151295705576,0.4110055850724069,0.23679759606184295,0.18565117715981796
0,0.26868723712282333,0.12080189075199066,0.4110267195597188,0.23491206593055125,0.18243261862859136
0,0.2711212948754364,0.12112944738576287,0.41101174236129473,0.2330035898509681,0.17912331241387516
0,0.27359766597695656,0.1214855744437951,0.410958656862977,0.23107074839613823,0.175718388813905
0,0.2761185357675027,0.12187182330453057,0.41086524984860345,0.2291119623115754,0.172212439649127
0,0.2786863407407007,0.12228993074471053,0.41072905691997996,0.22712546691596994,0.16859943220639012
0,0.2813038105851475,0.12274185009265301,0.4105473204613221,0.2251092809538163,0.16487260459587544
0,0.28397401974968095,0.12322978947369603,0.4103169380798892,0.2230611683558739,0.1610243373583963
