code,wall_affinity,side,phi1_inf,phi2_inf,nearest_binodal_phi1,nearest_binodal_phi2,distance,signed_distance,tolerance,classification
m0p1,-0.1,weak,0.14342320105431494,0.13386766917293233,0.1423048094940662,0.1345221736414741,0.0012958301514383464,-0.001293271098839984,0.00111180512179887,two_phase_side
m0p1,-0.1,weak,0.14389924279190489,0.13486967418546367,0.14286071205496564,0.13563397876327296,0.0012894601890821628,-0.0012713441827105797,0.00111180512179887,two_phase_side
m0p1,-0.1,weak,0.14413773933691443,0.13537067669172934,0.14286071205496564,0.13563397876327296,0.0013038890519214673,-0.0012589558161392213,0.00111180512179887,two_phase_side
m0p1,-0.1,weak,0.14437769920151045,0.135871679197995,0.14341661461586508,0.13674578388507183,0.0012991314732292505,-0.0012515737914558394,0.00111180512179887,two_phase_side
m0p1,-0.1,weak,0.1446174574959505,0.13637268170426065,0.14341661461586508,0.13674578388507183,0.0012574692282429538,-0.001240312283528196,0.00111180512179887,two_phase_side
m0p1,-0.1,weak,0.14485859944003043,0.13687368421052631,0.14397251717676451,0.1378575890068707,0.0013240885263244083,-0.0012339859648762726,0.00111180512179887,two_phase_side
m0p1,-0.1,weak,0.14509970590245497,0.13737468671679198,0.14397251717676451,0.1378575890068707,0.0012262744574877758,-0.0012239284953335127,0.00111180512179887,two_phase_side
m0p1,-0.1,weak,0.14534204863113598,0.13787568922305765,0.14452841973766398,0.1389693941286696,0.0013631516411801413,-0.0012186745881083085,0.00111180512179887,two_phase_side
m0p1,-0.1,weak,0.1455845038762856,0.13837669172932332,0.14452841973766398,0.1389693941286696,0.0012110366807157491,-0.0012098217059705305,0.00111180512179887,two_phase_side
m0p1,-0.1,weak,0.14607187100387561,0.13937869674185463,0.1450843222985634,0.14008119925046847,0.0012119250059193201,-0.0011980094079310703,0.00111180512179887,two_phase_side
m0p1,-0.1,weak,0.14631667217134803,0.1398796992481203,0.1450843222985634,0.14008119925046847,0.0012487147231848323,-0.0011912516508497829,0.00111180512179887,two_phase_side
m0p1,-0.1,weak,0.14656182712501717,0.14038070175438597,0.14564022485946285,0.14119300437226734,0.0012284894297029134,-0.0011885093199798162,0.00111180512179887,two_phase_side
m0p1,-0.1,weak,0.1468078869014896,0.14088170426065164,0.14564022485946285,0.14119300437226734,0.0012084462767876962,-0.0011828756168480788,0.00111180512179887,two_phase_side
m0p1,-0.1,weak,0.14705439232620923,0.1413827067669173,0.14619612742036228,0.1423048094940662,0.0012597190512268685,-0.0011813393812134289,0.00111180512179887,two_phase_side
m0p1,-0.1,weak,0.14730173138471075,0.14188370927318297,0.14619612742036228,0.1423048094940662,0.0011830830579511182,-0.0011768481949533806,0.00111180512179887,two_phase_side
