source,phi1_inf,phi2_inf
fix_phi2,0.1058322680744399,0.06823634085213033
fix_phi2,0.10593426394434577,0.068737343358396
fix_phi2,0.10603704610964376,0.06923834586466167
fix_phi2,0.10614066866799066,0.06973934837092732
fix_phi2,0.10624520013787225,0.07024035087719299
fix_phi2,0.10634920043114816,0.07074135338345866
fix_phi2,0.10645135212886957,0.07124235588972433
fix_phi2,0.10655431195997583,0.07174335839598998
fix_phi2,0.10665814756444122,0.07224436090225565
fix_phi2,0.10676294504578873,0.07274536340852132
fix_phi2,0.10686649696472196,0.07324636591478698
fix_phi2,0.10696878150656984,0.07374736842105264
fix_phi2,0.10707190294285746,0.07424837092731831
fix_phi2,0.10717594616941348,0.07474937343358397
fix_phi2,0.10728102044493157,0.07525037593984964
fix_phi2,0.10738404073718337,0.0757513784461153
fix_phi2,0.10748643463547139,0.07625238095238096
fix_phi2,0.10758970276217347,0.07675338345864663
fix_phi2,0.10769395268151054,0.0772543859649123
fix_phi2,0.10779932522116692,0.07775538847117795
fix_phi2,0.10790171312688637,0.07825639097744362
fix_phi2,0.1080041921162972,0.07875739348370929
fix_phi2,0.10810759359809498,0.07925839598997494
fix_phi2,0.10821205594140283,0.07975939849624061
fix_phi2,0.1083177060685315,0.08026040100250628
fix_phi2,0.10841939364730817,0.08076140350877194
fix_phi2,0.10852193211398782,0.0812624060150376
fix_phi2,0.10862545572196207,0.08176340852130327
fix_phi2,0.10873014637351025,0.08226441102756893
fix_phi2,0.10883528142621302,0.0827654135338346
fix_phi2,0.10893695937388183,0.08326641604010027
fix_phi2,0.10903952918631968,0.08376741854636593
fix_phi2,0.1091431664048159,0.08426842105263159
fix_phi2,0.10924811742304259,0.08476942355889726
fix_phi2,0.10935265727237156,0.08527042606516293
fix_phi2,0.10945428367554129,0.08577142857142858
fix_phi2,0.10955685172683248,0.08627243107769425
fix_phi2,0.10966059729503418,0.08677343358395992
fix_phi2,0.10976586817805115,0.08727443609022557
fix_phi2,0.10986971125600284,0.08777543859649124
fix_phi2,0.10997123360926137,0.08827644110275691
fix_phi2,0.11007375633237255,0.08877744360902257
fix_phi2,0.1101776080138451,0.08927844611528823
