loop_index,branch,row,phi1,phi2,phi1_conj,phi2_conj,gamma,gamma_conj,sigma,delta,thin_ok,reason,n_states,n_uncoated,from_guess,max_dev,cs_total,gamma_coated
95,0,95,0.30778803,0.12883189,0.40616555,0.20512169,nan,0.00440864,0.00112027,nan,0,coated,1,0,,nan,nan,0.00589470
96,0,96,0.31117983,0.12982388,0.40524916,0.20260511,nan,0.00513278,0.00097669,nan,0,coated,1,0,,nan,nan,0.00647889
97,0,97,0.31470364,0.13091002,0.40420457,0.19999819,nan,0.00585645,0.00083885,nan,0,coated,1,0,,nan,nan,0.00706675
98,0,98,0.31838038,0.13210579,0.40301084,0.19728544,nan,0.00657977,0.00070726,nan,0,coated,1,0,,nan,nan,0.00765845
99,0,99,0.32223766,0.13343170,0.40164034,0.19444630,nan,0.00730292,0.00058252,nan,0,coated,1,0,,nan,nan,0.00825415
100,0,100,0.33860064,0.13995827,0.39435066,0.18244877,nan,0.00993571,0.00019965,nan,0,coated,1,0,,nan,nan,0.01045480
101,0,101,0.34912562,0.14506149,0.38820627,0.17473169,nan,0.01121172,0.00006845,nan,0,coated,1,0,,nan,nan,0.01152857
102,0,102,0.35604422,0.14889155,0.38341944,0.16963595,nan,0.01184105,0.00002348,nan,0,coated,1,0,,nan,nan,0.01204761
103,0,103,0.36066788,0.15169909,0.37983692,0.16621175,nan,0.01215566,0.00000805,nan,0,coated,1,0,,nan,nan,0.01229516
104,0,104,0.36379682,0.15372677,0.37721732,0.16388275,nan,0.01231512,0.00000276,nan,0,coated,1,0,,nan,nan,0.01241105
105,0,105,0.36593421,0.15517693,0.37532932,0.16228513,nan,0.01239725,0.00000095,nan,0,coated,1,0,,nan,nan,0.01246381
106,0,106,0.36740443,0.15620723,0.37398125,0.16118263,nan,0.01244038,0.00000032,nan,0,coated,1,0,,nan,nan,0.01248677
107,0,107,0.36842083,0.15693591,0.37302470,0.16041858,nan,0.01246357,0.00000011,nan,0,coated,1,0,,nan,nan,0.01249597
108,0,108,0.36912605,0.15744967,0.37234879,0.15988749,nan,0.01247637,0.00000004,nan,0,coated,1,0,,nan,nan,0.01249903
109,0,109,0.36961664,0.15781110,0.37187257,0.15951757,nan,0.01248366,0.00000001,nan,0,coated,1,0,,nan,nan,0.01249952
110,0,110,0.36995855,0.15806499,0.37153770,0.15925951,nan,0.01248795,0.00000000,nan,0,coated,1,0,,nan,nan,0.01249904
111,0,111,0.37019714,0.15824315,0.37130255,0.15907932,nan,0.01249055,0.00000000,nan,0,coated,1,0,,nan,nan,0.01249831
112,0,112,0.37036380,0.15836807,0.37113758,0.15895339,nan,0.01249217,0.00000000,nan,0,coated,1,0,,nan,nan,0.01249761
113,0,113,0.37048031,0.15845565,0.37102196,0.15886537,nan,0.01249321,0.00000000,nan,0,coated,1,0,,nan,nan,0.01249701
114,0,114,0.37056172,0.15851696,0.37094088,0.15880376,nan,0.01249389,0.00000000,nan,0,coated,1,0,,nan,nan,0.01249655
115,0,115,0.37061874,0.15855995,0.37088415,0.15876072,nan,0.01249434,0.00000000,nan,0,coated,1,0,,nan,nan,0.01249621
116,0,116,0.37065877,0.15859017,0.37084456,0.15873071,nan,0.01249465,0.00000000,nan,0,coated,1,0,,nan,nan,0.01249595
117,0,117,0.37060288,0.15854801,0.37073293,0.15864638,nan,0.01249538,0.00000000,nan,0,coated,1,0,,nan,nan,0.01249630
118,0,118,0.37060559,0.15855011,0.37069663,0.15861896,nan,0.01249561,0.00000000,nan,0,coated,1,0,,nan,nan,0.01249625
119,0,119,0.37061782,0.15855933,0.37069757,0.15861965,nan,0.01249562,0.00000000,nan,0,coated,1,0,,nan,nan,0.01249618
120,0,120,0.37061782,0.15855933,0.37069757,0.15861965,nan,0.01249562,0.00000000,nan,0,coated,1,0,,nan,nan,0.01249618
121,0,120,0.37069757,0.15861965,0.37061782,0.15855933,0.01249562,nan,0.00000000,nan,1,,1,1,lin_thin,0.16067999,0.46482112,nan
122,0,119,0.37069757,0.15861965,0.37061782,0.15855933,0.01249562,nan,0.00000000,nan,1,,1,1,lin_thin,0.16067999,0.46482112,nan
123,0,118,0.37069663,0.15861896,0.37060559,0.15855011,0.01249561,nan,0.00000000,nan,1,,1,1,lin_thin,0.16068058,0.46483152,nan
124,0,117,0.37073293,0.15864638,0.37060288,0.15854801,0.01249538,nan,0.00000000,nan,1,,1,1,lin_thin,0.16065834,0.46444195,nan
125,0,116,0.37084456,0.15873071,0.37065877,0.15859017,0.01249465,nan,0.00000000,nan,1,,1,1,lin_thin,0.16059001,0.46324402,nan
126,0,115,0.37088415,0.15876072,0.37061874,0.15855995,0.01249434,nan,0.00000000,nan,1,,1,1,lin_thin,0.16056584,0.46281989,nan
127,0,114,0.37094088,0.15880376,0.37056172,0.15851696,0.01249389,nan,0.00000000,nan,1,,1,1,lin_thin,0.16053125,0.46221222,nan
128,0,113,0.37102196,0.15886537,0.37048031,0.15845565,0.01249321,nan,0.00000000,nan,1,,1,1,lin_thin,0.16048187,0.46134412,nan
129,0,112,0.37113758,0.15895339,0.37036380,0.15836807,0.01249217,nan,0.00000000,nan,1,,1,1,lin_thin,0.16041160,0.46010684,nan
130,0,111,0.37130255,0.15907932,0.37019714,0.15824315,0.01249055,nan,0.00000000,nan,1,,1,1,lin_thin,0.16031163,0.45834293,nan
131,0,110,0.37153770,0.15925951,0.36995855,0.15806499,0.01248795,nan,0.00000000,nan,1,,1,1,lin_thin,0.16016972,0.45583154,nan
132,0,109,0.37187257,0.15951757,0.36961664,0.15781110,0.01248366,nan,0.00000001,nan,1,,1,1,lin_thin,0.15996881,0.45226107,nan
133,0,108,0.37234879,0.15988749,0.36912605,0.15744967,0.01247637,nan,0.00000004,nan,1,,1,1,lin_thin,0.15968550,0.44719565,nan
134,0,107,0.37302470,0.16041858,0.36842083,0.15693591,0.01246357,nan,0.00000011,nan,1,,1,1,lin_thin,0.15928825,0.44003155,nan
135,0,106,0.37398125,0.16118263,0.36740443,0.15620723,0.01244038,nan,0.00000032,nan,1,,1,1,lin_thin,0.15873582,0.42994518,nan
136,0,105,0.37532932,0.16228513,0.36593421,0.15517693,0.01239725,nan,0.00000095,nan,1,,1,1,lin_thin,0.15797680,0.41584011,nan
137,0,104,0.37721732,0.16388275,0.36379682,0.15372677,0.01231512,nan,0.00000276,nan,1,,1,1,lin_thin,0.15695233,0.39631552,nan
138,0,103,0.37983692,0.16621175,0.36066788,0.15169909,0.01215566,nan,0.00000805,nan,1,,1,1,lin_thin,0.15560576,0.36971143,nan
139,0,102,0.38341944,0.16963595,0.35604422,0.14889155,0.01184105,nan,0.00002348,nan,1,,1,1,lin_thin,0.15390542,0.33435399,nan
140,0,101,0.38820627,0.17473169,0.34912562,0.14506149,0.01121172,nan,0.00006845,nan,1,,1,1,lin_thin,0.15188710,0.28923668,nan
141,0,100,0.39435066,0.18244877,0.33860064,0.13995827,0.00993571,nan,0.00019965,nan,1,,1,1,lin_thin,0.14971339,0.23542507,nan
142,0,99,0.40164034,0.19444630,0.32223766,0.13343170,0.00730292,nan,0.00058252,nan,1,,1,1,lin_thin,0.14771480,0.17790857,nan
143,0,98,0.40301084,0.19728544,0.31838038,0.13210579,0.00657977,nan,0.00070726,nan,1,,1,1,lin_thin,0.14740591,0.16775401,nan
144,0,97,0.40420457,0.19999819,0.31470364,0.13091002,0.00585645,nan,0.00083885,nan,1,,1,1,lin_thin,0.14715354,0.15901212,nan
145,0,96,0.40524916,0.20260511,0.31117983,0.12982388,0.00513278,nan,0.00097669,nan,1,,1,1,lin_thin,0.14694530,0.15139851,nan
146,0,95,0.40616555,0.20512169,0.30778803,0.12883189,0.00440864,nan,0.00112027,nan,1,,1,1,lin_thin,0.14677226,0.14470295,nan
147,0,94,0.40697006,0.20756002,0.30451196,0.12792199,0.00368394,nan,0.00126911,nan,1,,1,1,lin_thin,0.14662776,0.13876574,nan
148,0,93,0.40767568,0.20992968,0.30133863,0.12708463,0.00295859,nan,0.00142283,nan,1,,1,1,lin_thin,0.14650673,0.13346305,nan
149,0,92,0.40829301,0.21223847,0.29825751,0.12631205,0.00223253,nan,0.00158104,nan,1,,1,1,lin_thin,0.14640525,0.12869721,nan
150,0,91,0.40883076,0.21449279,0.29525988,0.12559785,0.00150571,nan,0.00174341,nan,1,,1,1,lin_thin,0.14632020,0.12438997,nan
151,0,90,0.40929626,0.21669800,0.29233846,0.12493671,0.00077808,nan,0.00190962,nan,1,,1,1,lin_thin,0.14624910,0.12047787,nan
152,0,89,0.40969570,0.21885865,0.28948708,0.12432413,0.00004962,nan,0.00207940,nan,1,,1,1,lin_thin,0.14618994,0.11690884,nan
